,precision,recall,f1-score,support
SANS_SERIF,0.9260526621041643,0.9841592702169625,0.9542221956612681,16224.0
HANDWRITING,0.7996749288906948,0.8601398601398601,0.8288060644346177,2288.0
DISPLAY,0.8835151265692529,0.7147852147852148,0.7902439024390243,6006.0
SERIF,0.9287925696594427,0.9230769230769231,0.9259259259259259,7150.0
accuracy,0.9103195654919792,0.9103195654919792,0.9103195654919792,0.9103195654919792
macro avg,0.8845088218058887,0.8705403170547401,0.8747995221152091,31668.0
weighted avg,0.9094730753606106,0.9103195654919792,0.9076728693398375,31668.0
