,precision,recall,f1-score,support
SANS_SERIF,0.935983239248094,0.9818681318681318,0.9583767839585257,16380.0
HANDWRITING,0.7294429708222812,0.8814102564102564,0.7982583454281568,1248.0
DISPLAY,0.9311562224183584,0.6440781440781441,0.7614579574160953,4914.0
SERIF,0.8885453953791084,0.9590797330523357,0.9224662162162163,5694.0
accuracy,0.9140458988525287,0.9140458988525287,0.9140458988525287,0.9140458988525287
macro avg,0.8712819569669604,0.866609066352217,0.8601398257547486,28236.0
weighted avg,0.9164481316306291,0.9140458988525287,0.9097876885611564,28236.0
